Value	Time

2010	0.093
2015	0.094
2020	0.094
2025	0.094
2030	0.093
2035	0.094
2040	0.094
2045	0.094
2050	0.093
2055	0.078
2060	0.094
2065	0.094
2070	0.094
2075	0.093
2080	0.094
2085	0.094
2090	0.094
2095	0.093
2100	0.094
2105	0.094
2110	0.094
2115	0.093
2120	0.094
2125	0.094
2130	0.094
2135	0.093
2140	0.094
2145	0.094
2150	0.094
2155	0.094
2160	0.093
2165	0.094
2170	0.094
2175	0.094
2180	0.093
2185	0.094
2190	0.109
2195	0.094
2200	0.094
