Value	Time

1000	0.047
2000	0.094
3000	0.14
4000	0.188
5000	0.219
6000	0.301
7000	0.329
8000	0.332
9000	0.453
10000	0.453
11000	0.485
12000	0.531
13000	0.656
14000	0.661
15000	0.703
16000	0.719
17000	0.739
18000	0.766
19000	0.942
20000	0.984
21000	1
22000	1.059
23000	1.076
24000	1.105
25000	1.125
26000	1.156
27000	1.134
28000	1.424
29000	1.452
30000	1.463
